Order_ID,Order_Date,Year,Month_No,Month,SKU,ASIN,Product_Name,Category,Sub_Category,Qty,Unit_Price,Discount_%,Amount,Status,Fulfilment,Shipping_Level,Sales_Channel,City,Region,Promotion,Stock_On_Hand,Lead_Time_Days,Reorder_Point
ORD-2023-104981,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,50.65,0.2,40.52,Delivered,Seller Fulfilled,Priority,Amazon App,Perth,WA,Christmas Deal,104,4,50
ORD-2023-104982,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,2,50.44,0.1,90.79,Delivered,FBA,Priority,Amazon.com.au,Melbourne,VIC,Christmas Deal,146,2,40
ORD-2023-104983,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,51.24,0.2,40.99,Shipped,Seller Fulfilled,Expedited,Amazon App,Perth,WA,Holiday Bundle,83,2,50
ORD-2023-104984,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,49.4,0.05,46.93,Delivered,FBA,Standard,Amazon.com.au,Perth,WA,Holiday Bundle,89,3,40
ORD-2023-104985,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,52.38,0.05,0,Cancelled,Seller Fulfilled,Priority,Marketplace,Canberra,ACT,Christmas Deal,129,1,90
ORD-2023-104986,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,2,49.41,0.2,0,Cancelled,FBA,Priority,Marketplace,Adelaide,SA,None,115,2,40
ORD-2023-104987,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,50.37,0.1,45.33,Delivered,FBA,Expedited,Amazon App,Hobart,TAS,Holiday Bundle,141,2,50
ORD-2023-104988,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,2,48.88,0.05,92.87,Delivered,FBA,Expedited,Amazon App,Sydney,NSW,Boxing Day,133,2,50
ORD-2023-104989,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,52.45,0.1,47.21,Delivered,FBA,Priority,Amazon.com.au,Hobart,TAS,Holiday Bundle,119,5,75
ORD-2023-104990,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,2,49.45,0.1,0,Cancelled,Seller Fulfilled,Expedited,Amazon App,Perth,WA,None,141,1,75
ORD-2023-104991,2023-12-01,2023,12,Dec,AMZ-ELEC-001,B0ELEC001,Wireless Earbuds,Electronics,Audio,1,51.41,0.15,43.7,Delivered,Seller Fulfilled,Standard,Amazon.com.au,Perth,WA,Boxing Day,110,2,50
ORD-2023-104992,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,40.42,0.05,38.4,Delivered,Seller Fulfilled,Priority,Amazon App,Hobart,TAS,Boxing Day,163,2,40
ORD-2023-104993,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,2,40.18,0.1,72.32,Delivered,FBA,Priority,Marketplace,Sydney,NSW,Christmas Deal,118,2,50
ORD-2023-104994,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,41.03,0,41.03,Shipped,Seller Fulfilled,Priority,Marketplace,Perth,WA,None,107,4,40
ORD-2023-104995,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,38.89,0.2,0,Cancelled,FBA,Expedited,Amazon App,Sydney,NSW,Christmas Deal,177,3,75
ORD-2023-104996,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,41.38,0,41.38,Delivered,Seller Fulfilled,Expedited,Amazon App,Sydney,NSW,None,125,2,40
ORD-2023-104997,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,40.92,0.1,36.83,Delivered,FBA,Priority,Marketplace,Adelaide,SA,Christmas Deal,124,1,60
ORD-2023-104998,2023-12-01,2023,12,Dec,AMZ-ELEC-002,B0ELEC002,Bluetooth Speaker,Electronics,Audio,1,41.47,0,41.47,Delivered,FBA,Expedited,Marketplace,Brisbane,QLD,Christmas Deal,161,4,60
